epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,96.6042,1.21461,2.0791,1.38184,0.95991,0.11688,0.7287,0.35292,1.21069,2.81318,1.6337,0.000647059,0.000647059,0.000647059
2,185.505,1.20027,1.31367,1.31266,0.97994,0.63444,0.88615,0.51165,1.1555,2.57944,1.66148,0.00130072,0.00130072,0.00130072
3,274.041,1.29224,1.25525,1.36206,0.80745,0.8961,0.9081,0.45347,1.55445,2.01312,1.89857,0.00194118,0.00194118,0.00194118
4,365.115,1.17931,1.07625,1.27057,0.71327,0.75325,0.81243,0.41864,1.62529,1.82336,2.37377,0.0019406,0.0019406,0.0019406
5,457.325,1.227,1.00263,1.29944,0.80232,0.71429,0.74793,0.37034,1.70842,2.15361,2.15691,0.0019208,0.0019208,0.0019208
6,545.741,1.16889,0.89561,1.27683,0.88282,0.76623,0.91583,0.57204,1.30892,1.31348,1.68007,0.001901,0.001901,0.001901
7,635.355,1.15013,0.83334,1.26294,0.93579,0.8961,0.95717,0.61203,1.20523,1.03329,1.52615,0.0018812,0.0018812,0.0018812
8,725.259,1.11274,0.76727,1.24146,0.79118,0.67532,0.79031,0.38629,1.67716,1.48952,2.03335,0.0018614,0.0018614,0.0018614
9,815.341,1.10219,0.73078,1.22333,0.99451,1,0.995,0.67165,1.04606,0.81633,1.31457,0.0018416,0.0018416,0.0018416
10,908.366,1.10155,0.70204,1.22566,0.92669,0.98504,0.98748,0.63143,1.15602,0.77587,1.46299,0.0018218,0.0018218,0.0018218
11,1001.99,1.09,0.67529,1.21045,0.98466,1,0.99385,0.67937,0.99471,0.65218,1.30681,0.001802,0.001802,0.001802
12,1094.57,1.07658,0.65228,1.20863,0.99797,1,0.995,0.73049,0.97178,0.5252,1.26987,0.0017822,0.0017822,0.0017822
13,1183.47,1.05227,0.65451,1.18936,0.9713,1,0.99397,0.68496,1.02975,0.63506,1.39258,0.0017624,0.0017624,0.0017624
14,1272.8,1.08221,0.63919,1.19767,0.9998,0.96104,0.99352,0.68624,1.06303,0.64074,1.35505,0.0017426,0.0017426,0.0017426
15,1368.32,1.03299,0.61956,1.21031,0.90687,0.98701,0.98029,0.69485,1.02363,0.73701,1.28688,0.0017228,0.0017228,0.0017228
16,1457.36,1.03731,0.6033,1.18844,1,0.99928,0.995,0.7127,1.06257,0.59877,1.37476,0.001703,0.001703,0.001703
17,1546.97,1.06538,0.6208,1.18826,0.9962,0.97403,0.9945,0.7049,1.06913,0.53674,1.36127,0.0016832,0.0016832,0.0016832
